Entry	Mass	Gene Names (ordered locus)
P33891	81167	YGL145W
P33892	296698	YGL195W
P33895	52973	YOL069W
P34077	96174	YFR002W
P34078	53390	YKL143W
P34087	19058	YDR404C
P34110	109142	YJL154C
P34111	132108	YAL001C
P34160	100018	YMR125W
P34161	42739	YML027W
P34162	22894	YHR041C
P34163	62979	YKL140W
P34164	46405	YGL208W
P34167	48522	YPR163C
P34216	150783	YBL047C
P34217	73776	YBL051C
P34218	97582	YBL052C
P34219	59226	YBL054W
P34221	51332	YBL056W
P34223	46987	YBL058W
P34225	78768	YBL060W
P34226	77066	YBL061C
P34227	29496	YBL064C
P34230	97126	YKL188C
P34233	65685	YKL185W
P34241	203287	YKL014C
P34244	169607	YKL101W
P34247	29735	YKL099C
P34252	52272	YKL108W
P34730	31061	YDR099W
P34756	257420	YFR019W
P34758	97305	YOR329C
P34760	21590	YML028W
P34761	71253	YNL197C
P34909	65354	YER068W
P35056	69324	YDR244W
P35169	281140	YJR066W
P35177	152617	YBR081C
P35179	8944	YDR086C
P35180	20317	YGR082W
P35181	18152	YLR170C
P35182	31550	YDL006W
P35187	163837	YMR190C
P35189	27440	YPL129W
P35191	55561	YFL016C
P35192	46516	YMR021C
P35193	47599	YOL082W
P35194	287560	YBL004W
P35196	32694	YBR002C
P35197	39296	YDL226C
P35200	26506	YLR168C
P35201	62473	YKL089W
P35203	56336	YMR094W
P35206	45442	YBR036C
P35207	146059	YLR398C
P35208	72922	YJL127C
P35688	116651	YDL240W
P35691	18741	YKL056C
P35718	24326	YKL144C
P35728	49647	YKL059C
P35729	120448	YKL057C
P35732	83973	YKL054C
P35734	32072	YKL052C
P35817	76978	YLR399C
P35843	49505	YOR237W
P35844	49492	YPL145C
P35845	135098	YAR042W
P35997	8879	YKL156W
P35999	88183	YKL134C
P36000	81869	YKL135C
P36003	103956	YKL171W
P36005	49633	YKL161C
P36006	142451	YKL129C
P36007	34899	YKL218C
P36009	82713	YKL078W
P36010	17167	YKL067W
P36012	26841	YKL049C
P36013	74376	YKL029C
P36014	19485	YKL026C
P36015	22707	YKL196C
P36016	99572	YKL073W
P36017	23081	YOR089C
P36018	26132	YKR014C
P36022	471348	YKR054C
P36024	62478	YKR072C
P36027	39146	YLR332W
P36033	80072	YKL220C
P36035	69376	YKL217W
P36037	79506	YKL213C
P36041	69762	YKL204W
P36046	44536	YKL195W
P36047	38887	YKL193C
P36048	114041	YKL173W
P36049	49734	YKL172W
P36051	105693	YKL165C
P36057	26974	YKL154W
P36060	34138	YKL150W
P36068	28251	YKL130C
P36075	50874	YKL090W
P36076	65238	YKL088W
P36077	13854	YKL086W
P36081	46036	YKL077W
P36084	60460	YKL074C
P36088	19734	YKL069W
P36091	49565	YKL046C
P36094	42271	YKL042W
P36095	26242	YKL041W
P36096	87880	YKL034W
P36100	54742	YKL028W
P36102	76455	YKL025C
P36104	37122	YKL018W
P36105	15167	YKL006W
P36107	45193	YKL004W
P36108	26291	YKL002W
P36112	61082	YKR016W
P36113	63569	YKR017C
P36116	18912	YKR020W
P36117	102540	YKR021W
P36119	60799	YKR023W
P36122	88044	YKR027W
P36124	85480	YKR029C
P36126	195204	YKR031C
P36130	72832	YKR036C
P36131	34078	YKR037C
P36132	42748	YKR038C
P36135	36955	YKR042W
P36136	31022	YKR043C
P36143	69724	YKR058W
P36146	59351	YKR063C
P36148	83645	YKR067W
P36149	22129	YKR068C
P36152	38543	YKR071C
P36156	43274	YKR076W
P36160	39599	YKR081C
P36161	133321	YKR082W
P36162	15072	YKR083C
P36163	39328	YKR087C
P36165	102717	YKR089C
P36421	44020	YGR185C
P36531	20091	YBR122C
P36775	127112	YBL022C
P37012	63089	YMR105C
P37020	87592	YJR040W
P37254	88544	YNR033W
P37291	52218	YLR058C
P37292	53686	YBR263W
P37296	101661	YMR054W
P37297	214607	YLR305C
P37298	20249	YDR178W
P37299	8593	YHR001W-A
P37303	42815	YEL046C
P37366	45210	YPR025C
P37370	82594	YLR337C
P37838	77825	YPL043W
P38009	65263	YMR120C
P38011	34805	YMR116C
P38013	19115	YLR109W
P38041	109295	YBL085W
P38042	85396	YBL084C
P38063	35720	YBL068W
P38069	67774	YBR015C
P38070	59591	YBR028C
P38071	42067	YBR026C
P38074	39786	YBR034C
P38075	26908	YBR035C
P38077	34351	YBR039W
P38080	123989	YBR059C
P38084	67769	YBR068C
P38085	68758	YBR069C
P38086	107946	YBR073W
P38088	78184	YBR121C
P38109	57639	YBR139W
P38110	321524	YBL088C
P38111	273342	YBR136W
P38112	87048	YBR142W
P38115	38884	YBR149W
P38116	20434	YBR164C
P38121	78774	YBL035C
P38123	34754	YBR175W
P38128	49414	YBR182C
P38129	88968	YBR198C
P38130	47482	YBR205W
P38132	94943	YBR202W
P38137	60489	YBR222C
P38138	110266	YBR229C
P38139	43287	YBR204C
P38140	60311	YBR239C
P38143	18406	YBR244W
P38144	131102	YBR245C
P38146	21834	YBR264C
P38149	98071	YBR281C
P38153	54837	YBR288C
P38165	54140	YBL103C
P38169	52429	YBL098W
P38170	86216	YBL097W
P38174	47518	YBL091C
P38181	169475	YBL079W
P38182	13627	YBL078C
P38198	174177	YBL034C
P38199	41683	YBL032W
P38203	11163	YBL026W
P38205	77879	YBL024W
P38207	59445	YBL019W
P38208	15512	YBL018C
P38211	50759	YBR004C
P38212	23887	YBR005W
P38217	103681	YBR017C
P38221	51823	YBR029C
P38225	77141	YBR041W
P38228	64252	YBR044C
P38236	41433	YBR057C
P38237	88630	YBR058C
P38238	34701	YBR061C
P38242	27035	YBR070C
P38244	111035	YBR074W
P38247	18354	YBR077C
P38248	43769	YBR078W
P38249	110344	YBR079C
P38250	105854	YBR086C
P38251	39942	YBR087W
P38255	48629	YBR095C
P38257	78764	YBR098W
P38261	85538	YBR102C
P38262	59161	YBR103W
P38263	41245	YBR105C
P38264	21137	YBR106W
P38265	28066	YBR107C
P38270	40454	YBR128C
P38272	47417	YBR130C
P38273	80732	YBR131W
P38274	95153	YBR133C
P38283	79186	YBR156C
P38285	62686	YBR158W
P38286	38708	YBR159W
P38287	44382	YBR161W
P38289	67570	YBR163W
P38291	15814	YBR167C
P38295	51255	YBR177C
P38297	97808	YBR179C
P38298	36420	YBR183W
P38301	30341	YBR187W
P38304	25268	YBR193C
P38307	24391	YBR201W
P38310	51420	YBR207W
P38313	37462	YBR211C
P38316	21106	YBR217W
P38319	62333	YBR223C
P38323	57946	YBR227C
P38324	35857	YBR228W
P38328	42475	YBR234C
P38329	123999	YBR235W
P38332	43308	YBR246W
P38333	55137	YBR247C
P38334	19700	YBR254C
P38336	32881	YBR257W
P38339	74619	YBR260C
P38340	26068	YBR261C
P38341	12388	YBR262C
P38342	35973	YBR265W
P38344	45862	YBR267W
P38345	15504	YBR269C
P38348	55543	YBR272C
P38351	51801	YBR279W
P38352	70495	YBR280C
P38353	53312	YBR283C
P38356	35764	YBR290W
P38360	131875	YBR295W
P38361	62654	YBR296C
P38426	118835	YMR261C
P38427	123018	YML100W
P38428	22763	YMR264W
P38429	23026	YMR263W
P38431	45261	YPR041W
P38439	53920	YOR123C
P38523	26066	YOR232W
P38555	24469	YER031C
P38590	54217	YNL053W
P38604	83460	YHR072W
P38615	43005	YMR139W
P38620	34765	YER099C
P38623	68062	YLR248W
P38624	23548	YJL001W
P38626	31494	YIL043C
P38627	64511	YJR103W
P38628	62067	YEL058W
P38629	38204	YNL290W
P38630	94903	YOR217W
P38631	214851	YLR342W
P38632	30354	YEL019C
P38633	14741	YGL127C
P38634	32223	YLR079W
P38636	8221	YNL259C
P38637	36485	YIR011C
P38689	35124	YHL011C
P38691	117082	YHR082C
P38692	117062	YHR102W
P38695	66251	YHR096C
P38696	42995	YHR129C
P38697	56530	YHR216W
P38700	69990	YHL019C
P38701	13907	YHL015W
P38703	48455	YHL003C
P38704	60792	YHR006W
P38710	32823	YHR046C
P38711	8865	YHR021C
P38712	55969	YHR065C
P38713	113760	YHR073W
P38715	37119	YHR104W
P38717	142820	YNL257C
P38719	47878	YHR169W
P38720	53543	YHR183W
P38731	70899	YHL040C
P38736	25395	YHL031C
P38741	80109	YHL024W
P38742	129973	YHL023C
P38753	51161	YHL002W
P38755	49805	YHR001W
P38757	50642	YHR004C
P38758	57614	YHR009C
P38759	31013	YHR012W
P38764	109492	YHR027C
P38766	81581	YHR031C
P38768	39519	YHR034C
P38770	53385	YHR036W
P38779	42530	YHR052W
P38781	101335	YHR056C
P38782	32819	YHR058C
P38785	35238	YHR061C
P38786	32224	YHR062C
P38788	58238	YHR064C
P38792	39427	YHR069C
P38793	56514	YHR070W
P38797	37782	YHR076W
P38801	21045	YHR081W
P38803	37867	YHR085W
P38805	35121	YHR088W
P38806	32086	YHR090C
P38810	103950	YHR098C
P38811	433180	YHR099W
P38815	24646	YHR105W
P38817	64347	YHR108W
P38820	49361	YHR111W
P38821	54174	YHR113W
P38822	71171	YHR114W
P38823	46098	YHR115C
P38825	71856	YHR117W
P38826	50296	YHR118C
P38827	123912	YHR119W
P38830	71479	YHR124W
P38838	30627	YHR134W
P38840	58528	YHR137W
P38843	34898	YHR142W
P38850	123017	YHR154W
P38851	143584	YHR155W
P38853	131094	YHR158C
P38855	32037	YHR160C
P38856	71660	YHR161C
P38857	14555	YHR162W
P38859	171694	YHR164C
P38862	71428	YHR171W
P38863	96825	YHR172W
P38869	26284	YHR181W
P38873	177609	YHR186C
P38874	35220	YHR187W
P38875	68771	YHR188C
P38878	32063	YHR192W
P38879	18709	YHR193C
P38881	36421	YHR195W
P38882	65271	YHR196W
P38883	86739	YHR197W
P38886	29747	YHR200W
P38888	91246	YHR204W
P38889	69202	YHR206W
P38891	43596	YHR208W
P38894	111982	YHR211W
P38902	13616	YOL005C
P38903	85335	YOR014W
P38907	52672	YDR254W
P38910	11372	YOR020C
P38911	46553	YML074C
P38912	17435	YMR260C
P38915	66190	YLR055C
P38920	87062	YMR167W
P38922	52142	YNL004W
P38925	63264	YOL122C
P38928	90783	YIL140W
P38929	130861	YGL006W
P38930	29842	YOR039W
P38931	160001	YDR443C
P38932	67017	YGL095C
P38934	54639	YOR198C
P38953	46350	YDR076W
P38954	60873	YDR072C
P38956	18667	YDR073W
P38959	113412	YDR080W
P38960	57511	YDR082W
P38961	45985	YDR083W
P38967	65404	YOL020W
P38968	138717	YDL195W
P38970	95455	YJL165C
P38987	27296	YML064C
P38989	133928	YFR031C
P38990	126872	YER129W
P38991	42946	YPL209C
P38992	40734	YDR297W
P38993	72360	YMR058W
P38994	89320	YDR208W
P38995	109829	YDR270W
P38996	90439	YPL190C
P38998	41465	YIR034C
P39001	91124	YDR207C
P39002	77947	YIL009W
P39003	62705	YDR343C
P39004	62735	YDR342C
P39006	56595	YNL169C
P39007	81529	YGL022W
P39008	49682	YNR052C
P39009	58633	YDL101C
P39010	85840	YDR264C
P39013	40297	YNL084C
P39014	72835	YIL046W
P39015	29995	YLR150W
P39016	95422	YGL178W
P39073	62847	YPL042C
P39081	71898	YDR228C
P39083	112832	YOR127W
P39104	119923	YNL267W
P39105	71667	YMR008C
P39107	45955	YPL050C
P39108	42323	YDR142C
P39109	171121	YDR135C
P39111	13461	YGR020C
P39112	110822	YMR287C
P39515	16584	YJL143W
P39516	14650	YJL191W
P39517	57544	YDL160C
P39518	83438	YER015W
P39520	122492	YLR223C
P39521	103502	YPR104C
P39522	62861	YJR016C
P39524	153765	YAL026C
P39531	97471	YJL204C
P39533	86583	YJL200C
P39538	143192	YJL197W
P39540	36234	YJL196C
P39552	27091	YAR033W
P39676	44646	YGR234W
P39678	93908	YDL056W
P39683	49019	YOR209C
P39685	151653	YMR129W
P39702	144962	YAL002W
P39704	24064	YAL007C
P39705	59039	YAR002W
P39706	48655	YAR003W
P39707	31313	YAR008W
P39714	41582	YAL060W
P39717	98656	YAL056W
P39719	87469	YAL053W
P39720	118891	YAL051W
P39722	75150	YAL048C
P39723	72106	YAL047C
P39726	18793	YAL044C
P39727	46235	YAL042W
P39729	40701	YAL036C
P39730	112268	YAL035W
P39731	33243	YAL034W-A
P39742	21607	YLR292C
P39743	52774	YDR388W
P39744	81601	YOR206W
P39875	80162	YOR033C
P39904	74333	YDR484W
P39923	69859	YEL062W
P39925	84544	YER017C
P39926	33734	YMR183C
P39928	134435	YIL147C
P39929	26987	YLR025W
P39935	107101	YGR162W
P39936	103899	YGL049C
P39940	91816	YER125W
P39943	43119	YER028C
P39946	56901	YOR269W
P39952	44816	YER154W
P39956	90211	YER169W
P39958	51206	YER136W
P39960	245430	YER155C
P39962	60261	YER123W
P39966	50388	YER089C
P39968	63208	YEL013W
P39969	115688	YER114C
P39976	55225	YEL071W
P39979	18814	YEL066W
P39984	45060	YEL056W
P39985	115894	YEL055C
P39986	135269	YEL031W
P39990	13569	YEL026W
P39993	165668	YEL022W
P39995	31644	YEL018W
P39997	57355	YEL016C
P39998	61340	YEL015W
P40009	71852	YER005W
P40010	57709	YER006W
P40011	25563	YER010C
P40013	38362	YER016W
P40014	25244	YER018C
P40015	53940	YER019W
P40016	60393	YER021W
P40018	22379	YER029C
P40021	119350	YER033C
P40024	68377	YER036C
P40028	87364	YER041W
P40032	74041	YER049W
P40034	56530	YER051W
P40046	14371	YER072W
P40047	56693	YER073W
P40048	105224	YER075C
P40054	51193	YER081W
P40055	62317	YER082C
P40056	31493	YER083C
P40059	73048	YER088C
P40061	164368	YER093C
P40064	156649	YER105C
P40065	35753	YER106W
P40066	40523	YER107C
P40069	122601	YER110C
P40070	21276	YER112W
P40072	30764	YER116C
P40073	41126	YER118C
P40075	26926	YER120W
P40078	29723	YER126C
P40084	26240	YER139C
P40086	54658	YER141W
P40087	47354	YER143W
P40089	10423	YER146W
P40090	72141	YER147C
P40091	48165	YER149C
P40094	92544	YER157W
P40096	15517	YER159C
P40106	27814	YER062C
P40107	37019	YGL225W
P40150	66595	YNL209W
P40152	37151	YNL217W
P40160	49125	YNL207W
P40161	51621	YNL206C
P40164	98053	YNL201C
P40167	34318	YNL196C
P40186	32037	YIL050W
P40202	27330	YMR038C
P40204	8482	YFL017W-A
P40208	51729	YMR135C
P40215	62774	YMR145C
P40217	38755	YMR146C
P40302	25604	YMR314W
P40303	28439	YOL038W
P40308	73613	YMR313C
P40316	41838	YDR113C
P40318	151455	YIL030C
P40319	39465	YLR372W
P40327	48828	YDL007W
P40335	42547	YJL053W
P40339	36149	YOL094C
P40340	157407	YGR270W
P40341	93276	YMR089C
P40343	70974	YNR006W
P40344	35887	YNR007C
P40345	75393	YNR008W
P40347	18675	YPR073C
P40348	39742	YJR068W
P40350	38347	YPL227C
P40352	124528	YJR035W
P40353	61036	YOR377W
P40356	43079	YGL025C
P40357	73624	YGR009C
P40358	75144	YJL073W
P40359	25061	YJL072C
P40360	65610	YJL071W
P40362	66424	YJL069C
P40367	94851	YJL062W
P40368	82085	YJL061W
P40395	121650	YLR039C
P40414	19093	YIL138C
P40416	77522	YMR301C
P40422	7716	YHR143W-A
P40438	174428	YIL173W
P40450	156852	YIL159W
P40453	123134	YIL156W
P40454	45082	YIL153W
P40457	195141	YIL149C
P40458	58969	YIL146C
P40460	80487	YIL144W
P40462	107723	YIL137C
P40465	24953	YIL132C
P40466	53490	YIL131C
P40469	117883	YIL128W
P40471	32814	YIL124W
P40472	48190	YIL123W
P40477	158908	YIL115C
P40479	23886	YIL113W
P40482	103636	YIL109C
P40484	35882	YIL106W
P40485	77995	YIL105C
P40487	48311	YIL103W
P40492	59894	YIL097W
P40494	91032	YIL095W
P40495	40069	YIL094C
P40498	83991	YIL091C
P40501	53737	YIL088C
P40505	37625	YIL084C
P40506	41867	YIL083C
P40507	41631	YIL079C
P40509	33829	YIL076W
P40510	51188	YIL074C
P40515	17733	YIL065C
P40517	36054	YIL063C
P40526	30306	YIL049W
P40527	130218	YIL048W
P40530	45444	YIL042C
P40535	65264	YIL036W
P40540	15907	YIL027C
P40541	133009	YIL026C
P40548	18306	YIL016W
P40553	24120	YIL010W
P40554	11028	YIL008W
P40556	41954	YIL006W
P40557	81219	YIL005W
P40558	31922	YIL003W
P40559	108430	YIL002C
P40562	114058	YIR002C
P40563	74763	YIR003W
P40564	48575	YIR004W
P40565	17098	YIR005W
P40568	65692	YIR010W
P40571	16344	YIR015W
P40573	21590	YIR017C
P40577	42826	YIR025W
P40581	18641	YIR037W
P40693	36559	YNL002C
P40825	110059	YOR335C
P40850	94495	YNL085W
P40851	138332	YPR122W
P40857	24511	YJL097W
P40917	32975	YOR028C
P40955	86042	YJL099W
P40956	44407	YGL181W
P40957	87651	YGL086W
P40958	22284	YJL030W
P40959	59657	YMR004W
P40961	31427	YGR132C
P40963	39206	YMR127C
P40968	52048	YDR364C
P40969	71358	YMR168C
P40970	63111	YDR062W
P40988	62792	YMR319C
P40989	216990	YGR032W
P40991	69812	YNL061W
P40992	60357	YJL025W
P40993	22541	YDR478W
P40994	20696	YOR094W
P41056	12168	YOR234C
P41277	27947	YIL053W
P41318	34034	YNL006W
P41338	41729	YPL028W
P41543	54072	YJL002C
P41546	26905	YFL031W
P41695	117868	YGR188C
P41696	101170	YOR113W
P41697	88817	YLR319C
P41735	26060	YOR125C
P41800	48660	YLL006W
P41805	25361	YLR075W
P41807	54416	YPR036W
P41808	44300	YPR054W
P41809	188948	YDR420W
P41810	109019	YDR238C
P41811	99445	YGL137W
P41812	100395	YNL221C
P41813	94374	YNL068C
P41816	44920	YPL171C
P41821	61575	YNL291C
P41832	219673	YNL271C
P41833	69396	YGL192W
P41834	40539	YOR075W
P41895	82194	YGR186W
P41896	46605	YGR005C
P41901	59845	YGR059W
P41903	40260	YJR019C
P41909	100025	YPL147W
P41911	49422	YOL059W
P41920	22953	YDR002W
P41921	53441	YPL091W
P41939	46562	YLR174W
P41948	53401	YNL142W
P42073	59819	YDR195W
P42836	39184	YNL326C
P42837	101746	YNL325C
P42838	47438	YNL323W
P42839	102499	YNL321W
P42844	19855	YNL310C
P42845	45684	YNL309W
P42935	89411	YGR200C
P42939	11968	YGR206W
P42945	200082	YJL109C
P42949	16216	YJL104W
P42951	70217	YJL100W
P43122	45543	YDL104C
P43123	53476	YDL103C
P43132	58347	YLR015W
P43321	11224	YLR147C
P43497	8911	YKL096W-A
P43534	38592	YFL058W
P43535	85027	YFR009W
P43555	50330	YFL048C
P43558	33510	YFL044C
P43561	70880	YFL041W
P43563	33276	YFL034C-B
P43564	119510	YFL034W
P43565	196531	YFL033C
P43567	41907	YFL030W
P43571	117755	YFL025C
P43572	96738	YFL024C
P43573	91422	YFL023W
P43583	245996	YFL007W
P43585	95441	YFL004W
P43586	23590	YFR001W
P43587	18187	YFR003C
P43588	34398	YFR004W
P43593	57111	YFR010W
P43594	18855	YFR011C
P43601	55102	YFR021W
P43603	49344	YFR024C-A
P43605	31845	YFR027W
P43609	63168	YFR037C
P43616	52871	YFR044C
P43618	41313	YFR046C
P43633	86087	YGL021W
P43635	53811	YPR001W
P43636	58047	YGL065C
P43639	32265	YGL019W
P43682	10961	YKL006C-A
P45818	63653	YGL171W
P45976	35777	YJR093C
P45978	39190	YPR129W
P46367	56724	YOR374W
P46654	27962	YLR048W
P46655	80843	YGL245W
P46669	36224	YOR340C
P46672	42084	YGL105W
P46673	84898	YJR042W
P46674	149569	YDR159W
P46675	100918	YLR045C
P46676	118201	YDR310C
P46677	120696	YGR274C
P46678	67688	YNL039W
P46680	67326	YMR092C
P46681	59268	YDL178W
P46682	91607	YGR261C
P46943	73188	YLR289W
P46944	80495	YDR108W
P46946	40097	YGL175C
P46948	27561	YGR195W
P46951	95366	YGR198W
P46957	55296	YJR006W
P46959	43920	YJL125C
P46962	37905	YJL006C
P46963	34809	YML112W
P46964	14698	YOR103C
P46971	87966	YJR143C
P46972	19930	YMR035W
P46984	13605	YJL184W
P46985	47859	YJL183W
P46989	30201	YJL178C
P46990	20551	YJL177W
P46995	84461	YJL168C
P47001	23242	YJL158C
P47002	77527	YJL156C
P47006	26875	YJL148W
P47008	34388	YJL145W
P47011	44546	YJL137C
P47013	47372	YJL134W
P47016	34693	YJL126W
P47017	20307	YJL124C
P47025	80032	YJL112W
P47026	55466	YJL091C
P47027	87241	YJL090C
P47029	117216	YJL084C
P47032	30634	YJL079C
P47033	89153	YJL078C
P47035	128531	YJL076W
P47037	141336	YJL074C
P47039	50082	YJL060W
P47041	60841	YJL058C
P47043	98866	YJL056C
P47045	54183	YJL054W
P47047	122055	YJL050W
P47050	99326	YJL047C
P47054	191535	YJL039C
P47057	49002	YJL036W
P47058	28252	YJL035C
P47061	95449	YJL029C
P47064	21938	YJL024C
P47068	128297	YJL020C
P47069	79175	YJL019W
P47074	59521	YJL013C
P47075	83155	YJL012C
P47076	18596	YJL011C
P47077	77722	YJL010C
P47082	65346	YJR001W
P47083	66953	YJR002W
P47093	12385	YJR022W
P47096	20235	YJR025C
P47102	159437	YJR031C
P47103	45134	YJR032W
P47104	154933	YJR033C
P47110	40310	YJR043C
P47112	68405	YJR046W
P47113	66086	YJR053W
P47114	57517	YJR054W
P47116	91400	YJR059W
P47119	22093	YJR069C
P47120	36165	YJR070C
P47122	43195	YJR072C
P47124	46297	YJR075W
P47128	12895	YJR082C
P47134	108667	YJR089W
P47136	164486	YJR092W
P47142	23558	YJR102C
P47143	36372	YJR105W
P47154	52324	YJR117W
P47156	84984	YJR119C
P47158	57055	YJR122W
P47160	45091	YJR125C
P47164	72351	YJR130C
P47169	161219	YJR137C
P47170	181949	YJR138W
P47171	191680	YJR140C
P47176	41625	YJR148W
P47178	29606	YJR150C
P47190	86323	YOR321W
P47818	34250	YLR220W
P47821	37791	YNL025C
P47822	16071	YDR308C
P47912	77267	YMR246W
P47977	32314	YLR136C
P48016	136921	YPR026W
P48164	21634	YNL096C
P48231	132509	YNL087W
P48236	51647	YGR149W
P48237	101423	YGR150C
P48240	27577	YGR158C
P48360	56237	YDR376W
P48363	23115	YGR078C
P48412	44924	YGR072W
P48415	241696	YPL085W
P48439	39483	YOR085W
P48445	76363	YDL141W
P48510	39346	YMR276W
P48524	109174	YMR275C
P48558	33645	YNL305C
P48559	47116	YNL304W
P48561	74179	YNL299W
P48562	93909	YNL298W
P48563	186836	YNL297C
P48566	72999	YNL293W
P48581	45580	YOR368W
P48582	97276	YPL084W
P48813	73598	YDR508C
P48836	12713	YHR039C-A
P48837	57499	YGR119C
P49017	34685	YML110C
P49018	47402	YDR331W
P49095	114451	YMR189W
P49166	9850	YLR185W
P49334	16790	YNL131W
P49435	20587	YML022W
P49573	44442	YPR124W
P49626	39062	YDR012W
P49686	42778	YDR192C
P49687	145661	YGL092W
P49704	56303	YGR091W
P49723	40055	YGR180C
P49775	23542	YDR305C
P49956	84373	YMR078C
P49957	32439	YML014W
P50076	61793	YGR227W
P50079	51235	YGR223C
P50082	67027	YGR225W
P50085	34407	YGR231C
P50087	26912	YGR235C
P50090	99975	YGR238C
P50091	33050	YGR239C
P50094	56394	YML056C
P50095	56585	YLR432W
P50101	143564	YMR304W
P50102	53623	YMR223W
P50105	42336	YMR005W
P50106	14585	YDR156W
P50107	37209	YML004C
P50108	46748	YDR245W
P50110	37493	YMR060C
P50111	103358	YMR273C
P50264	57806	YMR020W
P50275	101624	YOR058C
P50623	17911	YDL064W
P50861	18556	YOL143C
P50874	55289	YNL261W
P50875	67796	YOL148C
P50942	133331	YNL106C
P50945	26960	YNL100W
P50947	37024	YNL097C
P51402	9868	YDR500C
P51601	27769	YGR267C
P51862	152596	YLR371W
P51979	135072	YGL251C
P51996	24520	YGL210W
P52286	22330	YDR328C
P52488	71259	YDR390C
P52489	55195	YOR347C
P52490	17468	YDR092W
P52491	21203	YLR306W
P52553	13284	YLR200W
P52593	188577	YML103C
P52870	8711	YER087C-B
P52871	9606	YER019C-A
P52891	83635	YDL116W
P52910	75492	YLR153C
P52917	48172	YPR173C
P52920	35253	YGL091C
P52960	114711	YOR363C
P53008	96507	YGL027C
P53010	127039	YGL094C
P53011	39123	YGL100W
P53012	42735	YGL126W
P53032	33191	YGL162W
P53035	42048	YGL209W
P53037	130065	YGR170W
P53038	78687	YGR099W
P53039	27080	YGR172C
P53040	57902	YGL112C
P53043	57995	YGR123C
P53044	39810	YGR048W
P53045	36479	YGR060W
P53048	67980	YGR289C
P53049	166728	YGR281W
P53051	68592	YGR287C
P53061	82816	YGL249W
P53063	44510	YGL246C
P53064	65869	YGL244W
P53067	113921	YGL241W
P53068	28777	YGL240W
P53076	108179	YGL227W
P53079	48337	YGL223C
P53082	14102	YGL220W
P53083	51990	YGL219C
P53086	91090	YGL216W
P53088	39987	YGL211W
P53090	56178	YGL202W
P53091	112978	YGL201C
P53093	25995	YGL198W
P53095	47828	YGL196W
P53096	51455	YGL194C
P53101	51828	YGL184C
P53104	101717	YGL180W
P53109	65840	YGL160W
P53112	38420	YGL153W
P53114	128794	YGL151W
P53115	171455	YGL150C
P53119	105566	YGL141W
P53127	163203	YGL131C
P53129	73478	YGL124C
P53131	87562	YGL120C
P53135	77298	YGL113W
P53137	72043	YGL110C
P53140	74596	YGL107C
P53141	16444	YGL106W
P53144	25297	YGL101W
P53145	72728	YGL099W
P53146	28107	YGL098W
P53148	104826	YGL093W
P53150	48259	YGL090W
P53152	15545	YGL087C
P53154	65340	YGL084C
P53157	14995	YGL080W
P53159	44585	YGL075C
P53163	20650	YGL068W
P53164	43516	YGL067W
P53165	72878	YGL066W
P53166	63058	YGL064C
P53168	27473	YGL061C
P53170	57294	YGL059W
P53173	15930	YGL054C
P53176	27241	YGL051W
P53178	22661	YGL047W
P53184	24993	YGL037C
P53191	70617	YGL023C
P53192	27092	YGL020C
P53193	21778	YGL018C
P53195	31775	YGL005C
P53196	46383	YGL004C
P53197	62821	YGL003C
P53199	38706	YGL001C
P53201	55213	YGR002C
P53202	86115	YGR003W
P53204	44909	YGR010W
P53208	37937	YGR015C
P53215	27757	YGR024C
P53218	18210	YGR030C
P53223	27649	YGR036C
P53224	25245	YGR038W
P53230	44200	YGR046W
P53236	106669	YGR056W
P53238	38342	YGR058W
P53250	37071	YGR080W
P53251	24069	YGR081C
P53252	38349	YGR086C
P53254	140485	YGR090W
P53255	58206	YGR093W
P53256	24407	YGR095C
P53259	38815	YGR101W
P53261	69877	YGR103W
P53262	29678	YGR106C
P53264	52045	YGR110W
P53267	38422	YGR113W
P53271	30325	YGR120C
P53276	80191	YGR128C
P53277	24803	YGR129W
P53281	26139	YGR136W
P53286	47168	YGR142W
P53290	38600	YGR163W
P53294	46816	YGR169C
P53296	61898	YGR177C
P53297	78781	YGR178C
P53298	47349	YGR179C
P53299	11286	YGR181W
P53301	52758	YGR189C
P53303	55072	YGR211W
P53309	64328	YGR241C
P53311	16230	YGR243W
P53314	26732	YGR247W
P53317	22320	YGR251W
P53318	53527	YGR255C
P53323	29936	YGR262C
P53324	48541	YGR263C
P53327	224850	YGR271W
P53330	17795	YGR275W
P53334	40173	YGR279C
P53335	31312	YGR280C
P53378	52627	YLR212C
P53379	64269	YDR144C
P53397	42781	YML060W
P53507	6870	YNL070W
P53538	23469	YNL222W
P53540	98227	YNL126W
P53541	72187	YNL012W
P53549	49408	YOR259C
P53550	108667	YNL118C
P53551	27804	YPL127C
P53552	183931	YNL139C
P53598	35032	YOR142W
P53599	180528	YNR031C
P53604	23351	YNR049C
P53615	24859	YNL036W
P53616	43442	YNL066W
P53617	63859	YNL251C
P53622	135607	YDL145C
P53632	66031	YOL115W
P53633	19412	YNL044W
P53685	57702	YOL068C
P53686	39979	YPL015C
P53687	50524	YOR025W
P53688	41765	YDR191W
P53691	42072	YLR216C
P53720	42816	YNR015W
P53721	25344	YNR018W
P53722	26890	YNR020C
P53725	21142	YNR024W
P53731	39566	YNR035C
P53734	70362	YNR038W
P53738	15066	YNR046W
P53739	100546	YNR047W
