ORF	Gene.Name	SGD.Num	GO.Term.Type	GO.Term.Description	GO.Term.Number	Annotation.Status
YDR322W	MRPL35	S000002730	F	structural molecule activity	GO:0005198	ORF|Verified
YDR323C	PEP7	S000002731	F	ion binding	GO:0043167	ORF|Verified
YDR323C	PEP7	S000002731	F	lipid binding	GO:0008289	ORF|Verified
YDR324C	UTP4	S000002732	F	molecular_function	GO:0003674	ORF|Verified
YDR325W	YCG1	S000002733	F	chromatin binding	GO:0003682	ORF|Verified
YDR326C	YSP2	S000002734	F	lipid binding	GO:0008289	ORF|Verified
YDR327W		S000002735	F	molecular_function	GO:0003674	ORF|Dubious
YDR328C	SKP1	S000002736	F	DNA binding	GO:0003677	ORF|Verified
YDR328C	SKP1	S000002736	F	transferase activity	GO:0016740	ORF|Verified
YDR329C	PEX3	S000002737	F	protein binding, bridging	GO:0030674	ORF|Verified
YDR330W	UBX5	S000002738	F	molecular_function	GO:0003674	ORF|Verified
YDR331W	GPI8	S000002739	F	hydrolase activity	GO:0016787	ORF|Verified
YDR332W	IRC3	S000002740	F	ATPase activity	GO:0016887	ORF|Verified
YDR332W	IRC3	S000002740	F	hydrolase activity	GO:0016787	ORF|Verified
YDR333C	RQC1	S000002741	F	molecular_function	GO:0003674	ORF|Verified
YDR334W	SWR1	S000002742	F	structural molecule activity	GO:0005198	ORF|Verified
YDR335W	MSN5	S000002743	F	protein transporter activity	GO:0008565	ORF|Verified
YDR336W	MRX8	S000002744	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR337W	MRPS28	S000002745	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR337W	MRPS28	S000002745	F	structural molecule activity	GO:0005198	ORF|Verified
YDR338C		S000002746	F	transmembrane transporter activity	GO:0022857	ORF|Uncharacterized
YDR339C	FCF1	S000002747	F	molecular_function	GO:0003674	ORF|Verified
YDR340W		S000002748	F	molecular_function	GO:0003674	ORF|Dubious
YDR341C		S000002749	F	ligase activity	GO:0016874	ORF|Verified
YDR342C	HXT7	S000002750	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR343C	HXT6	S000002751	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR344C		S000002752	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR345C	HXT3	S000002753	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR346C	SVF1	S000002754	F	molecular_function	GO:0003674	ORF|Verified
YDR347W	MRP1	S000002755	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR347W	MRP1	S000002755	F	structural molecule activity	GO:0005198	ORF|Verified
YDR348C	PAL1	S000002756	F	molecular_function	GO:0003674	ORF|Verified
YDR349C	YPS7	S000002757	F	hydrolase activity	GO:0016787	ORF|Verified
YDR349C	YPS7	S000002757	F	peptidase activity	GO:0008233	ORF|Verified
YDR350C	ATP22	S000002758	F	other		ORF|Verified
YDR351W	SBE2	S000002759	F	molecular_function	GO:0003674	ORF|Verified
YDR352W	YPQ2	S000002760	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR353W	TRR1	S000002761	F	ion binding	GO:0043167	ORF|Verified
YDR353W	TRR1	S000002761	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR354C-A		S000028613	F	molecular_function	GO:0003674	ORF|Dubious
YDR354W	TRP4	S000002762	F	transferase activity	GO:0016740	ORF|Verified
YDR354W	TRP4	S000002762	F	transferase activity, transferring glycosyl groups	GO:0016757	ORF|Verified
YDR355C		S000002763	F	molecular_function	GO:0003674	ORF|Dubious
YDR356W	SPC110	S000002764	F	structural molecule activity	GO:0005198	ORF|Verified
YDR357C	CNL1	S000002765	F	molecular_function	GO:0003674	ORF|Verified
YDR358W	GGA1	S000002766	F	ubiquitin-like protein binding	GO:0032182	ORF|Verified
YDR359C	EAF1	S000002767	F	molecular_function	GO:0003674	ORF|Verified
YDR360W	OPI7	S000002768	F	molecular_function	GO:0003674	ORF|Dubious
YDR361C	BCP1	S000002769	F	molecular_function	GO:0003674	ORF|Verified
YDR362C	TFC6	S000002770	F	DNA binding	GO:0003677	ORF|Verified
YDR362C	TFC6	S000002770	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YDR362C	TFC6	S000002770	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR363W	ESC2	S000002771	F	molecular_function	GO:0003674	ORF|Verified
YDR363W-A	SEM1	S000007235	F	molecular_function	GO:0003674	ORF|Verified
YDR364C	CDC40	S000002772	F	other		ORF|Verified
YDR365C	ESF1	S000002773	F	RNA binding	GO:0003723	ORF|Verified
YDR366C		S000002774	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR367W	KEI1	S000002775	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR368W	YPR1	S000002776	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR369C	XRS2	S000002777	F	DNA binding	GO:0003677	ORF|Verified
YDR369C	XRS2	S000002777	F	protein binding, bridging	GO:0030674	ORF|Verified
YDR370C	DXO1	S000002778	F	hydrolase activity	GO:0016787	ORF|Verified
YDR370C	DXO1	S000002778	F	nuclease activity	GO:0004518	ORF|Verified
YDR371C-A		S000028822	F	molecular_function	GO:0003674	ORF|Dubious
YDR371W	CTS2	S000002779	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR372C	VPS74	S000002780	F	enzyme binding	GO:0019899	ORF|Verified
YDR372C	VPS74	S000002780	F	ion binding	GO:0043167	ORF|Verified
YDR372C	VPS74	S000002780	F	lipid binding	GO:0008289	ORF|Verified
YDR373W	FRQ1	S000002781	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR373W	FRQ1	S000002781	F	ion binding	GO:0043167	ORF|Verified
YDR374C	PHO92	S000002782	F	RNA binding	GO:0003723	ORF|Verified
YDR374C	PHO92	S000002782	F	mRNA binding	GO:0003729	ORF|Verified
YDR374W-A	WIP1	S000113553	F	DNA binding	GO:0003677	ORF|Verified
YDR375C	BCS1	S000002783	F	ATPase activity	GO:0016887	ORF|Verified
YDR375C	BCS1	S000002783	F	hydrolase activity	GO:0016787	ORF|Verified
YDR375C	BCS1	S000002783	F	protein transporter activity	GO:0008565	ORF|Verified
YDR375C	BCS1	S000002783	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR376W	ARH1	S000002784	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR377W	ATP17	S000002785	F	ATPase activity	GO:0016887	ORF|Verified
YDR377W	ATP17	S000002785	F	hydrolase activity	GO:0016787	ORF|Verified
YDR377W	ATP17	S000002785	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR378C	LSM6	S000002786	F	RNA binding	GO:0003723	ORF|Verified
YDR379C-A	SDH6	S000007605	F	molecular_function	GO:0003674	ORF|Verified
YDR379W	RGA2	S000002787	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR380W	ARO10	S000002788	F	lyase activity	GO:0016829	ORF|Verified
YDR381C-A		S000007650	F	molecular_function	GO:0003674	ORF|Verified
YDR381W	YRA1	S000002789	F	RNA binding	GO:0003723	ORF|Verified
YDR381W	YRA1	S000002789	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR382W	RPP2B	S000002790	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR382W	RPP2B	S000002790	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR382W	RPP2B	S000002790	F	structural molecule activity	GO:0005198	ORF|Verified
YDR383C	NKP1	S000002791	F	molecular_function	GO:0003674	ORF|Verified
YDR384C	ATO3	S000002792	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR385W	EFT2	S000002793	F	RNA binding	GO:0003723	ORF|Verified
YDR385W	EFT2	S000002793	F	translation factor activity, RNA binding	GO:0008135	ORF|Verified
YDR386W	MUS81	S000002794	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR386W	MUS81	S000002794	F	hydrolase activity	GO:0016787	ORF|Verified
YDR386W	MUS81	S000002794	F	nuclease activity	GO:0004518	ORF|Verified
YDR387C	CIN10	S000002795	F	transmembrane transporter activity	GO:0022857	ORF|Uncharacterized
YDR388W	RVS167	S000002796	F	cytoskeletal protein binding	GO:0008092	ORF|Verified
YDR388W	RVS167	S000002796	F	lipid binding	GO:0008289	ORF|Verified
YDR389W	SAC7	S000002797	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR390C	UBA2	S000002798	F	ligase activity	GO:0016874	ORF|Verified
YDR391C		S000002799	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR392W	SPT3	S000002800	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR393W	SHE9	S000002801	F	molecular_function	GO:0003674	ORF|Verified
YDR394W	RPT3	S000002802	F	ATPase activity	GO:0016887	ORF|Verified
YDR394W	RPT3	S000002802	F	hydrolase activity	GO:0016787	ORF|Verified
YDR395W	SXM1	S000002803	F	protein transporter activity	GO:0008565	ORF|Verified
YDR396W		S000002804	F	molecular_function	GO:0003674	ORF|Dubious
YDR397C	NCB2	S000002805	F	DNA binding	GO:0003677	ORF|Verified
YDR397C	NCB2	S000002805	F	chromatin binding	GO:0003682	ORF|Verified
YDR397C	NCB2	S000002805	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR398W	UTP5	S000002806	F	molecular_function	GO:0003674	ORF|Verified
YDR399W	HPT1	S000002807	F	transferase activity	GO:0016740	ORF|Verified
YDR399W	HPT1	S000002807	F	transferase activity, transferring glycosyl groups	GO:0016757	ORF|Verified
YDR400W	URH1	S000002808	F	hydrolase activity	GO:0016787	ORF|Verified
YDR400W	URH1	S000002808	F	hydrolase activity, acting on glycosyl bonds	GO:0016798	ORF|Verified
YDR401W		S000002809	F	molecular_function	GO:0003674	ORF|Dubious
YDR402C	DIT2	S000002810	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR403W	DIT1	S000002811	F	other		ORF|Verified
YDR404C	RPB7	S000002812	F	DNA binding	GO:0003677	ORF|Verified
YDR404C	RPB7	S000002812	F	RNA binding	GO:0003723	ORF|Verified
YDR404C	RPB7	S000002812	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
YDR404C	RPB7	S000002812	F	transferase activity	GO:0016740	ORF|Verified
YDR405W	MRP20	S000002813	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR405W	MRP20	S000002813	F	structural molecule activity	GO:0005198	ORF|Verified
YDR406W	PDR15	S000002814	F	ATPase activity	GO:0016887	ORF|Verified
YDR406W	PDR15	S000002814	F	hydrolase activity	GO:0016787	ORF|Verified
YDR406W	PDR15	S000002814	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR406W-A		S000028543	F	molecular_function	GO:0003674	ORF|Dubious
YDR407C	TRS120	S000002815	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YDR408C	ADE8	S000002816	F	transferase activity	GO:0016740	ORF|Verified
YDR409W	SIZ1	S000002817	F	transferase activity	GO:0016740	ORF|Verified
YDR410C	STE14	S000002818	F	methyltransferase activity	GO:0008168	ORF|Verified
YDR410C	STE14	S000002818	F	transferase activity	GO:0016740	ORF|Verified
YDR411C	DFM1	S000002819	F	molecular_function	GO:0003674	ORF|Verified
YDR412W	RRP17	S000002820	F	molecular_function	GO:0003674	ORF|Verified
YDR413C		S000002821	F	molecular_function	GO:0003674	ORF|Dubious
YDR414C	ERD1	S000002822	F	molecular_function	GO:0003674	ORF|Verified
YDR415C		S000002823	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR416W	SYF1	S000002824	F	other		ORF|Verified
YDR417C		S000002825	F	molecular_function	GO:0003674	ORF|Dubious
YDR418W	RPL12B	S000002826	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR418W	RPL12B	S000002826	F	structural molecule activity	GO:0005198	ORF|Verified
YDR419W	RAD30	S000002827	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
YDR419W	RAD30	S000002827	F	transferase activity	GO:0016740	ORF|Verified
YDR420W	HKR1	S000002828	F	signal transducer activity	GO:0004871	ORF|Verified
YDR421W	ARO80	S000002829	F	DNA binding	GO:0003677	ORF|Verified
YDR421W	ARO80	S000002829	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YDR422C	SIP1	S000002830	F	kinase activity	GO:0016301	ORF|Verified
YDR422C	SIP1	S000002830	F	transferase activity	GO:0016740	ORF|Verified
YDR423C	CAD1	S000002831	F	DNA binding	GO:0003677	ORF|Verified
YDR423C	CAD1	S000002831	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YDR424C	DYN2	S000002832	F	ATPase activity	GO:0016887	ORF|Verified
YDR424C	DYN2	S000002832	F	hydrolase activity	GO:0016787	ORF|Verified
YDR425W	SNX41	S000002833	F	ion binding	GO:0043167	ORF|Verified
YDR425W	SNX41	S000002833	F	lipid binding	GO:0008289	ORF|Verified
YDR426C		S000002834	F	molecular_function	GO:0003674	ORF|Dubious
YDR427W	RPN9	S000002835	F	structural molecule activity	GO:0005198	ORF|Verified
YDR428C	BNA7	S000002836	F	hydrolase activity	GO:0016787	ORF|Verified
YDR429C	TIF35	S000002837	F	RNA binding	GO:0003723	ORF|Verified
YDR429C	TIF35	S000002837	F	translation factor activity, RNA binding	GO:0008135	ORF|Verified
YDR430C	CYM1	S000002838	F	hydrolase activity	GO:0016787	ORF|Verified
YDR430C	CYM1	S000002838	F	peptidase activity	GO:0008233	ORF|Verified
YDR431W		S000002839	F	molecular_function	GO:0003674	ORF|Dubious
YDR432W	NPL3	S000002840	F	RNA binding	GO:0003723	ORF|Verified
YDR432W	NPL3	S000002840	F	enzyme binding	GO:0019899	ORF|Verified
YDR432W	NPL3	S000002840	F	mRNA binding	GO:0003729	ORF|Verified
YDR433W		S000002841	F	molecular_function	GO:0003674	ORF|Dubious
YDR434W	GPI17	S000002842	F	hydrolase activity	GO:0016787	ORF|Verified
YDR435C	PPM1	S000002843	F	methyltransferase activity	GO:0008168	ORF|Verified
YDR435C	PPM1	S000002843	F	transferase activity	GO:0016740	ORF|Verified
YDR436W	PPZ2	S000002844	F	hydrolase activity	GO:0016787	ORF|Verified
YDR436W	PPZ2	S000002844	F	phosphatase activity	GO:0016791	ORF|Verified
YDR437W	GPI19	S000002845	F	transferase activity	GO:0016740	ORF|Verified
YDR437W	GPI19	S000002845	F	transferase activity, transferring glycosyl groups	GO:0016757	ORF|Verified
YDR438W	THI74	S000002846	F	molecular_function	GO:0003674	ORF|Verified
YDR439W	LRS4	S000002847	F	molecular_function	GO:0003674	ORF|Verified
YDR440W	DOT1	S000002848	F	chromatin binding	GO:0003682	ORF|Verified
YDR440W	DOT1	S000002848	F	histone binding	GO:0042393	ORF|Verified
YDR440W	DOT1	S000002848	F	methyltransferase activity	GO:0008168	ORF|Verified
YDR440W	DOT1	S000002848	F	transferase activity	GO:0016740	ORF|Verified
YDR441C	APT2	S000002849	F	molecular_function	GO:0003674	ORF|Verified
YDR442W		S000002850	F	molecular_function	GO:0003674	ORF|Dubious
YDR443C	SSN2	S000002851	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR444W		S000002852	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR445C		S000002853	F	molecular_function	GO:0003674	ORF|Dubious
YDR446W	ECM11	S000002854	F	molecular_function	GO:0003674	ORF|Verified
YDR447C	RPS17B	S000002855	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR447C	RPS17B	S000002855	F	structural molecule activity	GO:0005198	ORF|Verified
YDR448W	ADA2	S000002856	F	chromatin binding	GO:0003682	ORF|Verified
YDR448W	ADA2	S000002856	F	ion binding	GO:0043167	ORF|Verified
YDR448W	ADA2	S000002856	F	lipid binding	GO:0008289	ORF|Verified
YDR448W	ADA2	S000002856	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR448W	ADA2	S000002856	F	transferase activity	GO:0016740	ORF|Verified
YDR449C	UTP6	S000002857	F	RNA binding	GO:0003723	ORF|Verified
YDR450W	RPS18A	S000002858	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR450W	RPS18A	S000002858	F	structural molecule activity	GO:0005198	ORF|Verified
YDR451C	YHP1	S000002859	F	DNA binding	GO:0003677	ORF|Verified
YDR451C	YHP1	S000002859	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR452W	PPN1	S000002860	F	hydrolase activity	GO:0016787	ORF|Verified
YDR453C	TSA2	S000002861	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR454C	GUK1	S000002862	F	kinase activity	GO:0016301	ORF|Verified
YDR454C	GUK1	S000002862	F	transferase activity	GO:0016740	ORF|Verified
YDR455C		S000002863	F	molecular_function	GO:0003674	ORF|Dubious
YDR456W	NHX1	S000002864	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR457W	TOM1	S000002865	F	transferase activity	GO:0016740	ORF|Verified
YDR458C	HEH2	S000002866	F	molecular_function	GO:0003674	ORF|Verified
YDR459C	PFA5	S000002867	F	transferase activity	GO:0016740	ORF|Verified
YDR460W	TFB3	S000002868	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YDR461C-A		S000087209	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR461W	MFA1	S000002869	F	other		ORF|Verified
YDR462W	MRPL28	S000002870	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR462W	MRPL28	S000002870	F	structural molecule activity	GO:0005198	ORF|Verified
YDR463W	STP1	S000002871	F	DNA binding	GO:0003677	ORF|Verified
YDR463W	STP1	S000002871	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YDR464C-A		S000028614	F	molecular_function	GO:0003674	ORF|Dubious
YDR464W	SPP41	S000002872	F	molecular_function	GO:0003674	ORF|Verified
YDR465C	RMT2	S000002873	F	methyltransferase activity	GO:0008168	ORF|Verified
YDR465C	RMT2	S000002873	F	transferase activity	GO:0016740	ORF|Verified
YDR466W	PKH3	S000002874	F	kinase activity	GO:0016301	ORF|Verified
YDR466W	PKH3	S000002874	F	transferase activity	GO:0016740	ORF|Verified
YDR467C		S000002875	F	molecular_function	GO:0003674	ORF|Dubious
YDR468C	TLG1	S000002876	F	other		ORF|Verified
YDR469W	SDC1	S000002877	F	methyltransferase activity	GO:0008168	ORF|Verified
YDR469W	SDC1	S000002877	F	transferase activity	GO:0016740	ORF|Verified
YDR470C	UGO1	S000002878	F	molecular_function	GO:0003674	ORF|Verified
YDR471W	RPL27B	S000002879	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR471W	RPL27B	S000002879	F	structural molecule activity	GO:0005198	ORF|Verified
YDR472W	TRS31	S000002880	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YDR473C	PRP3	S000002881	F	molecular_function	GO:0003674	ORF|Verified
YDR475C	JIP4	S000002883	F	molecular_function	GO:0003674	ORF|Verified
YDR476C		S000002884	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR477W	SNF1	S000002885	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YDR477W	SNF1	S000002885	F	kinase activity	GO:0016301	ORF|Verified
YDR477W	SNF1	S000002885	F	transferase activity	GO:0016740	ORF|Verified
YDR478W	SNM1	S000002886	F	RNA binding	GO:0003723	ORF|Verified
YDR478W	SNM1	S000002886	F	rRNA binding	GO:0019843	ORF|Verified
YDR479C	PEX29	S000002887	F	molecular_function	GO:0003674	ORF|Verified
YDR480W	DIG2	S000002888	F	transcription factor binding	GO:0008134	ORF|Verified
YDR481C	PHO8	S000002889	F	hydrolase activity	GO:0016787	ORF|Verified
YDR481C	PHO8	S000002889	F	phosphatase activity	GO:0016791	ORF|Verified
YDR482C	CWC21	S000002890	F	molecular_function	GO:0003674	ORF|Verified
YDR483W	KRE2	S000002891	F	transferase activity	GO:0016740	ORF|Verified
YDR483W	KRE2	S000002891	F	transferase activity, transferring glycosyl groups	GO:0016757	ORF|Verified
YDR484W	VPS52	S000002892	F	other		ORF|Verified
YDR485C	VPS72	S000002893	F	histone binding	GO:0042393	ORF|Verified
YDR486C	VPS60	S000002894	F	molecular_function	GO:0003674	ORF|Verified
YDR487C	RIB3	S000002895	F	lyase activity	GO:0016829	ORF|Verified
YDR488C	PAC11	S000002896	F	ATPase activity	GO:0016887	ORF|Verified
YDR488C	PAC11	S000002896	F	hydrolase activity	GO:0016787	ORF|Verified
YDR489W	SLD5	S000002897	F	molecular_function	GO:0003674	ORF|Verified
YDR490C	PKH1	S000002898	F	kinase activity	GO:0016301	ORF|Verified
YDR490C	PKH1	S000002898	F	transferase activity	GO:0016740	ORF|Verified
YDR491C		S000002899	F	molecular_function	GO:0003674	ORF|Dubious
YDR492W	IZH1	S000002900	F	molecular_function	GO:0003674	ORF|Verified
YDR493W	MZM1	S000002901	F	other		ORF|Verified
YDR494W	RSM28	S000002902	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR494W	RSM28	S000002902	F	structural molecule activity	GO:0005198	ORF|Verified
YDR495C	VPS3	S000002903	F	molecular_function	GO:0003674	ORF|Verified
YDR496C	PUF6	S000002904	F	RNA binding	GO:0003723	ORF|Verified
YDR496C	PUF6	S000002904	F	mRNA binding	GO:0003729	ORF|Verified
YDR497C	ITR1	S000002905	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR498C	SEC20	S000002906	F	other		ORF|Verified
YDR499W	LCD1	S000002907	F	DNA binding	GO:0003677	ORF|Verified
YDR500C	RPL37B	S000002908	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YDR500C	RPL37B	S000002908	F	structural molecule activity	GO:0005198	ORF|Verified
YDR501W	PLM2	S000002909	F	chromatin binding	GO:0003682	ORF|Verified
YDR502C	SAM2	S000002910	F	transferase activity	GO:0016740	ORF|Verified
YDR503C	LPP1	S000002911	F	hydrolase activity	GO:0016787	ORF|Verified
YDR503C	LPP1	S000002911	F	phosphatase activity	GO:0016791	ORF|Verified
YDR504C	SPG3	S000002912	F	molecular_function	GO:0003674	ORF|Verified
YDR505C	PSP1	S000002913	F	RNA binding	GO:0003723	ORF|Verified
YDR505C	PSP1	S000002913	F	mRNA binding	GO:0003729	ORF|Verified
YDR506C	GMC1	S000002914	F	molecular_function	GO:0003674	ORF|Verified
YDR507C	GIN4	S000002915	F	kinase activity	GO:0016301	ORF|Verified
YDR507C	GIN4	S000002915	F	transferase activity	GO:0016740	ORF|Verified
YDR508C	GNP1	S000002916	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR509W		S000002917	F	molecular_function	GO:0003674	ORF|Dubious
YDR510C-A		S000028615	F	molecular_function	GO:0003674	ORF|Dubious
YDR510W	SMT3	S000002918	F	other		ORF|Verified
YDR511W	SDH7	S000002919	F	molecular_function	GO:0003674	ORF|Verified
YDR512C	EMI1	S000002920	F	molecular_function	GO:0003674	ORF|Verified
YDR513W	GRX2	S000002921	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR513W	GRX2	S000002921	F	transferase activity	GO:0016740	ORF|Verified
YDR514C		S000002922	F	molecular_function	GO:0003674	ORF|Verified
YDR515W	SLF1	S000002923	F	RNA binding	GO:0003723	ORF|Verified
YDR515W	SLF1	S000002923	F	mRNA binding	GO:0003729	ORF|Verified
YDR516C	EMI2	S000002924	F	molecular_function	GO:0003674	ORF|Verified
YDR517W	GRH1	S000002925	F	molecular_function	GO:0003674	ORF|Verified
YDR518W	EUG1	S000002926	F	isomerase activity	GO:0016853	ORF|Verified
YDR518W	EUG1	S000002926	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR518W	EUG1	S000002926	F	unfolded protein binding	GO:0051082	ORF|Verified
YDR519W	FPR2	S000002927	F	isomerase activity	GO:0016853	ORF|Verified
YDR520C	URC2	S000002928	F	DNA binding	GO:0003677	ORF|Uncharacterized
YDR521W		S000002929	F	molecular_function	GO:0003674	ORF|Dubious
YDR522C	SPS2	S000002930	F	molecular_function	GO:0003674	ORF|Verified
YDR523C	SPS1	S000002931	F	kinase activity	GO:0016301	ORF|Verified
YDR523C	SPS1	S000002931	F	transferase activity	GO:0016740	ORF|Verified
YDR524C	AGE1	S000002932	F	enzyme regulator activity	GO:0030234	ORF|Verified
YDR524C	AGE1	S000002932	F	ion binding	GO:0043167	ORF|Verified
YDR524C	AGE1	S000002932	F	lipid binding	GO:0008289	ORF|Verified
YDR524C-A		S000028616	F	molecular_function	GO:0003674	ORF|Dubious
YDR524C-B		S000028739	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR524W-C		S000028740	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR525W	API2	S000002933	F	molecular_function	GO:0003674	ORF|Uncharacterized
YDR525W-A	SNA2	S000007236	F	molecular_function	GO:0003674	ORF|Verified
YDR526C		S000002934	F	molecular_function	GO:0003674	ORF|Dubious
YDR527W	RBA50	S000002935	F	molecular_function	GO:0003674	ORF|Verified
YDR528W	HLR1	S000002936	F	molecular_function	GO:0003674	ORF|Verified
YDR529C	QCR7	S000002937	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR529C	QCR7	S000002937	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR530C	APA2	S000002938	F	hydrolase activity	GO:0016787	ORF|Verified
YDR531W	CAB1	S000002939	F	kinase activity	GO:0016301	ORF|Verified
YDR531W	CAB1	S000002939	F	transferase activity	GO:0016740	ORF|Verified
YDR532C	KRE28	S000002940	F	molecular_function	GO:0003674	ORF|Verified
YDR533C	HSP31	S000002941	F	lyase activity	GO:0016829	ORF|Verified
YDR534C	FIT1	S000002942	F	molecular_function	GO:0003674	ORF|Verified
YDR535C		S000002943	F	molecular_function	GO:0003674	ORF|Dubious
YDR536W	STL1	S000002944	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YDR537C		S000002945	F	molecular_function	GO:0003674	ORF|Dubious
YDR538W	PAD1	S000002946	F	RNA binding	GO:0003723	ORF|Verified
YDR538W	PAD1	S000002946	F	lyase activity	GO:0016829	ORF|Verified
YDR538W	PAD1	S000002946	F	mRNA binding	GO:0003729	ORF|Verified
YDR539W	FDC1	S000002947	F	lyase activity	GO:0016829	ORF|Verified
YDR540C	IRC4	S000002948	F	molecular_function	GO:0003674	ORF|Verified
YDR541C		S000002949	F	oxidoreductase activity	GO:0016491	ORF|Verified
YDR542W	PAU10	S000002950	F	molecular_function	GO:0003674	ORF|Verified
YDR543C		S000002951	F	molecular_function	GO:0003674	ORF|Dubious
YDR544C		S000002952	F	molecular_function	GO:0003674	ORF|Dubious
YDR545C-A		S000028617	F	molecular_function	GO:0003674	ORF|Dubious
YDR545W	YRF1-1	S000002953	F	helicase activity	GO:0004386	ORF|Verified
YDR545W	YRF1-1	S000002953	F	hydrolase activity	GO:0016787	ORF|Verified
YEL001C	IRC22	S000000727	F	molecular_function	GO:0003674	ORF|Verified
YEL002C	WBP1	S000000728	F	molecular_function	GO:0003674	ORF|Verified
YEL003W	GIM4	S000000729	F	cytoskeletal protein binding	GO:0008092	ORF|Verified
YEL004W	YEA4	S000000730	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YEL005C	VAB2	S000000731	F	molecular_function	GO:0003674	ORF|Verified
YEL006W	YEA6	S000000732	F	other		ORF|Verified
YEL007W	MIT1	S000000733	F	molecular_function	GO:0003674	ORF|Verified
YEL008C-A		S000028618	F	molecular_function	GO:0003674	ORF|Dubious
YEL008W		S000000734	F	molecular_function	GO:0003674	ORF|Uncharacterized
YEL009C	GCN4	S000000735	F	DNA binding	GO:0003677	ORF|Verified
YEL009C	GCN4	S000000735	F	chromatin binding	GO:0003682	ORF|Verified
YEL009C	GCN4	S000000735	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YEL009C	GCN4	S000000735	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
