"ORF","ontology","term"
"YDR365W-B","BP","transposition, RNA-mediated"
"YDR365W-B","MF","metal ion binding"
"YDR365W-B","BP","DNA biosynthetic process"
"YDR365W-B","BP","nucleic acid phosphodiester bond hydrolysis"
"YDR365W-B","BP","RNA phosphodiester bond hydrolysis"
"YDR365W-B","BP","RNA phosphodiester bond hydrolysis, endonucleolytic"
"YDR366C","MF","molecular_function"
"YDR366C","BP","biological_process"
"YDR366C","CC","membrane"
"YDR367W","CC","Golgi membrane"
"YDR367W","CC","cytoplasm"
"YDR367W","CC","Golgi apparatus"
"YDR367W","BP","lipid metabolic process"
"YDR367W","BP","sphingolipid metabolic process"
"YDR367W","BP","inositol phosphoceramide metabolic process"
"YDR367W","CC","membrane"
"YDR367W","BP","regulation of catalytic activity"
"YDR367W","CC","inositol phosphoceramide synthase complex"
"YDR367W","MF","inositol phosphoceramide synthase regulator activity"
"YDR368W","MF","alditol:NADP+ 1-oxidoreductase activity"
"YDR368W","MF","carbonyl reductase (NADPH) activity"
"YDR368W","CC","nucleus"
"YDR368W","CC","cytoplasm"
"YDR368W","CC","cytosol"
"YDR368W","MF","alcohol dehydrogenase (NADP+) activity"
"YDR368W","MF","oxidoreductase activity"
"YDR368W","BP","arabinose catabolic process"
"YDR368W","BP","cellular response to oxidative stress"
"YDR368W","BP","D-xylose catabolic process"
"YDR369C","BP","telomere maintenance"
"YDR369C","MF","DNA binding"
"YDR369C","MF","double-stranded telomeric DNA binding"
"YDR369C","CC","nucleus"
"YDR369C","BP","DNA repair"
"YDR369C","BP","base-excision repair"
"YDR369C","BP","double-strand break repair via nonhomologous end joining"
"YDR369C","BP","cellular response to DNA damage stimulus"
"YDR369C","BP","sporulation resulting in formation of a cellular spore"
"YDR369C","MF","protein-macromolecule adaptor activity"
"YDR369C","CC","Mre11 complex"
"YDR369C","BP","maintenance of DNA trinucleotide repeats"
"YDR369C","BP","meiotic DNA double-strand break formation"
"YDR369C","MF","telomeric DNA binding"
"YDR369C","MF","single-stranded telomeric DNA binding"
"YDR369C","BP","meiotic cell cycle"
"YDR369C","MF","G-quadruplex DNA binding"
"YDR369C","BP","mitochondrial double-strand break repair via homologous recombination"
"YDR370C","MF","nucleotide binding"
"YDR370C","BP","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"YDR370C","BP","nuclear-transcribed mRNA catabolic process"
"YDR370C","MF","RNA binding"
"YDR370C","MF","nuclease activity"
"YDR370C","MF","exonuclease activity"
"YDR370C","CC","nucleus"
"YDR370C","CC","cytoplasm"
"YDR370C","CC","cytosol"
"YDR370C","MF","5'-3' exonuclease activity"
"YDR370C","MF","hydrolase activity"
"YDR370C","MF","mRNA 5'-diphosphatase activity"
"YDR370C","MF","metal ion binding"
"YDR370C","BP","nucleic acid phosphodiester bond hydrolysis"
"YDR370C","BP","NAD-cap decapping"
"YDR371W","BP","polysaccharide catabolic process"
"YDR371W","MF","molecular_function"
"YDR371W","MF","hydrolase activity, hydrolyzing O-glycosyl compounds"
"YDR371W","MF","chitinase activity"
"YDR371W","CC","extracellular region"
"YDR371W","CC","cytoplasm"
"YDR371W","BP","carbohydrate metabolic process"
"YDR371W","BP","chitin catabolic process"
"YDR371W","MF","chitin binding"
"YDR371W","BP","metabolic process"
"YDR371W","MF","hydrolase activity"
"YDR371W","MF","hydrolase activity, acting on glycosyl bonds"
"YDR371W","BP","sporulation resulting in formation of a cellular spore"
"YDR372C","CC","nucleus"
"YDR372C","CC","cytoplasm"
"YDR372C","CC","Golgi apparatus"
"YDR372C","CC","Golgi medial cisterna"
"YDR372C","CC","trans-Golgi network"
"YDR372C","CC","cytosol"
"YDR372C","BP","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"YDR372C","BP","Golgi organization"
"YDR372C","MF","lipid binding"
"YDR372C","BP","protein transport"
"YDR372C","CC","membrane"
"YDR372C","CC","extrinsic component of membrane"
"YDR372C","MF","enzyme binding"
"YDR372C","BP","endoplasmic reticulum unfolded protein response"
"YDR372C","CC","Golgi cisterna"
"YDR372C","CC","Golgi cisterna membrane"
"YDR372C","BP","Golgi to plasma membrane protein transport"
"YDR372C","BP","protein retention in Golgi apparatus"
"YDR372C","BP","Golgi vesicle budding"
"YDR372C","BP","regulation of phosphatidylinositol dephosphorylation"
"YDR372C","MF","phosphatidylinositol-4-phosphate binding"
"YDR373W","CC","Golgi membrane"
"YDR373W","MF","calcium ion binding"
"YDR373W","CC","cytosol"
"YDR373W","CC","plasma membrane"
"YDR373W","MF","enzyme activator activity"
"YDR373W","BP","regulation of signal transduction"
"YDR373W","CC","membrane"
"YDR373W","CC","cellular bud membrane"
"YDR373W","BP","positive regulation of 1-phosphatidylinositol 4-kinase activity"
"YDR373W","MF","metal ion binding"
"YDR374C","MF","RNA binding"
"YDR374C","MF","mRNA binding"
"YDR374C","MF","mRNA 3'-UTR binding"
"YDR374C","CC","cytoplasm"
"YDR374C","BP","regulation of phosphate metabolic process"
"YDR374C","BP","regulation of mRNA stability"
"YDR374C","BP","positive regulation of translational initiation"
"YDR374C","BP","mRNA destabilization"
"YDR374C","MF","N6-methyladenosine-containing RNA binding"
"YDR374W-A","CC","chromosome, centromeric region"
"YDR374W-A","CC","kinetochore"
"YDR374W-A","CC","nucleus"
"YDR374W-A","CC","chromosome"
"YDR374W-A","BP","chromosome segregation"
"YDR374W-A","MF","centromeric DNA binding"
"YDR375C","MF","nucleotide binding"
"YDR375C","MF","ATP binding"
"YDR375C","CC","mitochondrion"
"YDR375C","CC","mitochondrial inner membrane"
"YDR375C","MF","protein transmembrane transporter activity"
"YDR375C","CC","membrane"
"YDR375C","MF","ATP hydrolysis activity"
"YDR375C","BP","protein insertion into mitochondrial inner membrane from matrix"
"YDR375C","BP","mitochondrial respiratory chain complex III assembly"
"YDR375C","MF","ATPase-coupled transmembrane transporter activity"
"YDR375C","BP","chaperone-mediated protein complex assembly"
"YDR375C","BP","transmembrane transport"
"YDR375C","BP","protein transmembrane transport"
"YDR376W","CC","mitochondrion"
"YDR376W","CC","mitochondrial inner membrane"
"YDR376W","BP","ubiquinone biosynthetic process"
"YDR376W","BP","intracellular iron ion homeostasis"
"YDR376W","MF","NADPH-adrenodoxin reductase activity"
"YDR376W","CC","membrane"
"YDR376W","MF","oxidoreductase activity"
"YDR377W","CC","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"YDR377W","CC","mitochondrion"
"YDR377W","CC","mitochondrial inner membrane"
"YDR377W","BP","ATP biosynthetic process"
"YDR377W","BP","monoatomic ion transport"
"YDR377W","BP","proton motive force-driven ATP synthesis"
"YDR377W","CC","membrane"
"YDR377W","MF","ATP hydrolysis activity"
"YDR377W","CC","proton-transporting ATP synthase complex, coupling factor F(o)"
"YDR377W","MF","proton-transporting ATP synthase activity, rotational mechanism"
"YDR378C","BP","mRNA splicing, via spliceosome"
"YDR378C","CC","P-body"
"YDR378C","MF","RNA binding"
"YDR378C","CC","nucleus"
"YDR378C","CC","spliceosomal complex"
"YDR378C","CC","U6 snRNP"
"YDR378C","CC","nucleolus"
"YDR378C","CC","sno(s)RNA-containing ribonucleoprotein complex"
"YDR378C","CC","cytoplasm"
"YDR378C","BP","rRNA processing"
"YDR378C","BP","mRNA processing"
"YDR378C","BP","tRNA processing"
"YDR378C","BP","RNA splicing"
"YDR378C","BP","maturation of SSU-rRNA"
"YDR378C","CC","U4/U6 x U5 tri-snRNP complex"
"YDR378C","CC","Lsm1-7-Pat1 complex"
"YDR379C-A","MF","molecular_function"
"YDR379C-A","CC","mitochondrion"
"YDR379C-A","CC","mitochondrial matrix"
"YDR379C-A","BP","mitochondrial respiratory chain complex II assembly"
"YDR379W","MF","GTPase activator activity"
"YDR379W","CC","cytoplasm"
"YDR379W","BP","signal transduction"
"YDR379W","BP","small GTPase mediated signal transduction"
"YDR379W","BP","septin ring organization"
"YDR379W","CC","cellular bud neck split septin rings"
"YDR379W","BP","regulation of GTPase activity"
"YDR379W","BP","positive regulation of GTPase activity"
"YDR379W","MF","metal ion binding"
"YDR380W","MF","magnesium ion binding"
"YDR380W","BP","aromatic amino acid family catabolic process to alcohol via Ehrlich pathway"
"YDR380W","BP","branched-chain amino acid catabolic process to alcohol via Ehrlich pathway"
"YDR380W","BP","methionine catabolic process to 3-methylthiopropanol"
"YDR380W","BP","amino acid catabolic process via Ehrlich pathway"
"YDR380W","MF","catalytic activity"
"YDR380W","CC","cytoplasm"
"YDR380W","CC","cytosol"
"YDR380W","BP","leucine catabolic process"
"YDR380W","BP","L-phenylalanine catabolic process"
"YDR380W","BP","tryptophan catabolic process"
"YDR380W","BP","tyrosine catabolic process"
"YDR380W","BP","branched-chain amino acid catabolic process"
"YDR380W","MF","lyase activity"
"YDR380W","MF","carboxy-lyase activity"
"YDR380W","MF","thiamine pyrophosphate binding"
"YDR380W","MF","metal ion binding"
"YDR380W","MF","branched-chain-2-oxoacid decarboxylase activity"
"YDR380W","MF","indolepyruvate decarboxylase activity"
"YDR380W","MF","phenylpyruvate decarboxylase activity"
"YDR380W","MF","4-hydroxyphenylpyruvate decarboxylase activity"
"YDR381C-A","MF","molecular_function"
"YDR381C-A","CC","mitochondrion"
"YDR381C-A","CC","mitochondrial outer membrane"
"YDR381C-A","CC","membrane"
"YDR381C-A","BP","mitochondrial cytochrome c oxidase assembly"
"YDR381C-A","BP","mitochondrial respiratory chain complex III assembly"
"YDR381C-A","BP","mitochondrial respirasome assembly"
"YDR381W","CC","transcription export complex"
"YDR381W","MF","nucleic acid binding"
"YDR381W","MF","RNA binding"
"YDR381W","MF","protein binding"
"YDR381W","CC","nucleus"
"YDR381W","BP","transcription-coupled nucleotide-excision repair"
"YDR381W","BP","mRNA export from nucleus"
"YDR381W","BP","regulation of ATP-dependent activity"
"YDR381W","BP","negative regulation of RNA helicase activity"
"YDR381W","MF","RNA helicase inhibitor activity"
"YDR382W","CC","fungal-type vacuole"
"YDR382W","BP","cytoplasmic translation"
"YDR382W","MF","structural constituent of ribosome"
"YDR382W","CC","cytoplasm"
"YDR382W","CC","ribosome"
"YDR382W","BP","translational elongation"
"YDR382W","CC","cytosolic large ribosomal subunit"
"YDR382W","MF","protein kinase activator activity"
"YDR382W","BP","activation of protein kinase activity"
"YDR382W","BP","positive regulation of protein kinase activity"
"YDR383C","CC","chromosome, centromeric region"
"YDR383C","CC","kinetochore"
"YDR383C","MF","molecular_function"
"YDR383C","CC","nucleus"
"YDR383C","CC","chromosome"
"YDR383C","BP","cell cycle"
"YDR383C","BP","biological_process"
"YDR383C","BP","cell division"
"YDR383C","BP","meiotic cell cycle"
"YDR384C","CC","mitochondrion"
"YDR384C","CC","plasma membrane"
"YDR384C","BP","monoatomic ion transport"
"YDR384C","MF","ammonium transmembrane transporter activity"
"YDR384C","MF","acetate transmembrane transporter activity"
"YDR384C","CC","membrane"
"YDR384C","BP","nitrogen utilization"
"YDR384C","BP","acetate transmembrane transport"
"YDR384C","BP","transmembrane transport"
"YDR384C","CC","cell periphery"
"YDR384C","BP","ammonium transmembrane transport"
"YDR385W","MF","nucleotide binding"
"YDR385W","MF","RNA binding"
"YDR385W","MF","translation elongation factor activity"
"YDR385W","MF","GTPase activity"
"YDR385W","MF","GTP binding"
"YDR385W","CC","cytoplasm"
"YDR385W","CC","cytosol"
"YDR385W","BP","translation"
"YDR385W","BP","translational elongation"
"YDR385W","MF","rRNA binding"
"YDR385W","MF","ribosome binding"
"YDR385W","BP","positive regulation of translational elongation"
"YDR385W","MF","chaperone binding"
"YDR385W","BP","maintenance of translational fidelity"
"YDR385W","CC","ribonucleoprotein complex"
"YDR386W","BP","resolution of meiotic recombination intermediates"
"YDR386W","BP","double-strand break repair via break-induced replication"
"YDR386W","MF","DNA binding"
"YDR386W","MF","nuclease activity"
"YDR386W","MF","endonuclease activity"
"YDR386W","MF","DNA endonuclease activity"
"YDR386W","MF","enzyme inhibitor activity"
"YDR386W","CC","nucleus"
"YDR386W","BP","DNA topological change"
"YDR386W","BP","DNA repair"
"YDR386W","BP","DNA recombination"
"YDR386W","BP","cellular response to DNA damage stimulus"
"YDR386W","BP","reciprocal meiotic recombination"
"YDR386W","MF","crossover junction DNA endonuclease activity"
"YDR386W","MF","hydrolase activity"
"YDR386W","BP","mitotic intra-S DNA damage checkpoint signaling"
"YDR386W","MF","metal ion binding"
"YDR386W","MF","3'-flap endonuclease activity"
"YDR386W","CC","Holliday junction resolvase complex"
"YDR386W","BP","negative regulation of helicase activity"
"YDR386W","BP","meiotic cell cycle"
"YDR386W","BP","nucleic acid phosphodiester bond hydrolysis"
"YDR387C","CC","fungal-type vacuole membrane"
"YDR387C","MF","myo-inositol:proton symporter activity"
"YDR387C","BP","carbohydrate transport"
"YDR387C","BP","myo-inositol transport"
"YDR387C","CC","membrane"
"YDR387C","MF","transmembrane transporter activity"
"YDR387C","BP","transmembrane transport"
"YDR388W","MF","actin binding"
"YDR388W","MF","calmodulin binding"
"YDR388W","CC","cytoplasm"
"YDR388W","CC","cytosol"
"YDR388W","CC","cytoskeleton"
"YDR388W","CC","cellular bud tip"
"YDR388W","CC","mating projection"
"YDR388W","BP","endocytosis"
"YDR388W","MF","cytoskeletal protein binding"
"YDR388W","MF","lipid binding"
"YDR388W","BP","vesicle-mediated transport"
"YDR388W","CC","actin cortical patch"
"YDR388W","CC","medial cortex"
"YDR388W","MF","protein homodimerization activity"
"YDR388W","CC","mating projection tip"
"YDR388W","BP","actin cortical patch localization"
"YDR388W","BP","lipid tube assembly"
"YDR388W","BP","protein localization to cell division site"
"YDR388W","BP","plasma membrane tubulation"
"YDR388W","BP","mitotic actomyosin contractile ring assembly"
"YDR388W","CC","Rvs161p-Rvs167p complex"
"YDR389W","MF","GTPase activator activity"
"YDR389W","CC","cytoplasm"
"YDR389W","CC","cytoskeleton"
"YDR389W","CC","cell cortex"
"YDR389W","BP","signal transduction"
"YDR389W","BP","regulation of actin cytoskeleton organization"
"YDR389W","BP","negative regulation of Rho protein signal transduction"
"YDR389W","BP","positive regulation of GTPase activity"
"YDR389W","BP","regulation of fungal-type cell wall organization"
"YDR389W","BP","negative regulation of protein kinase C signaling"
"YDR389W","BP","activation of GTPase activity"
"YDR390C","MF","nucleotide binding"
"YDR390C","MF","ATP binding"
"YDR390C","CC","nucleus"
"YDR390C","CC","cytoplasm"
"YDR390C","MF","ubiquitin-like modifier activating enzyme activity"
"YDR390C","MF","ligase activity"
"YDR390C","BP","protein sumoylation"
"YDR390C","MF","SUMO activating enzyme activity"
"YDR390C","CC","SUMO activating enzyme complex"
"YDR390C","BP","protein modification by small protein conjugation"
"YDR390C","MF","metal ion binding"
"YDR391C","MF","molecular_function"
"YDR391C","CC","nucleus"
"YDR391C","CC","cytoplasm"
"YDR391C","BP","biological_process"
"YDR392W","CC","SAGA complex"
"YDR392W","BP","invasive growth in response to glucose limitation"
"YDR392W","MF","transcription coregulator activity"
"YDR392W","CC","nucleus"
"YDR392W","CC","cytosol"
"YDR392W","BP","chromatin organization"
"YDR392W","BP","transcription by RNA polymerase II"
"YDR392W","BP","pseudohyphal growth"
"YDR392W","BP","histone acetylation"
"YDR392W","CC","SLIK (SAGA-like) complex"
"YDR392W","MF","protein heterodimerization activity"
"YDR392W","BP","regulation of nucleic acid-templated transcription"
"YDR393W","MF","molecular_function"
"YDR393W","CC","mitochondrion"
"YDR393W","CC","mitochondrial inner membrane"
"YDR393W","BP","mitochondrion organization"
"YDR393W","BP","inner mitochondrial membrane organization"
"YDR393W","CC","membrane"
"YDR394W","MF","nucleotide binding"
"YDR394W","CC","proteasome complex"
"YDR394W","MF","ATP binding"
"YDR394W","CC","nucleus"
"YDR394W","CC","cytoplasm"
"YDR394W","BP","ubiquitin-dependent protein catabolic process"
"YDR394W","CC","proteasome regulatory particle, base subcomplex"
"YDR394W","MF","hydrolase activity"
"YDR394W","MF","ATP hydrolysis activity"
"YDR394W","BP","protein catabolic process"
"YDR394W","CC","cytosolic proteasome complex"
"YDR394W","MF","proteasome-activating activity"
"YDR394W","BP","positive regulation of RNA polymerase II transcription preinitiation complex assembly"
"YDR394W","BP","proteasome regulatory particle assembly"
"YDR394W","BP","positive regulation of proteasomal protein catabolic process"
"YDR395W","CC","nucleus"
"YDR395W","CC","nuclear envelope"
"YDR395W","CC","nuclear pore"
"YDR395W","CC","cytoplasm"
"YDR395W","CC","cytosol"
"YDR395W","BP","mRNA export from nucleus"
"YDR395W","BP","protein import into nucleus"
"YDR395W","BP","intracellular protein transport"
"YDR395W","BP","protein transport"
"YDR395W","BP","mRNA transport"
"YDR395W","MF","nuclear import signal receptor activity"
"YDR397C","BP","negative regulation of transcription by RNA polymerase II"
"YDR397C","MF","core promoter sequence-specific DNA binding"
"YDR397C","MF","chromatin binding"
"YDR397C","MF","transcription coregulator activity"
"YDR397C","MF","transcription coactivator activity"
"YDR397C","MF","transcription corepressor activity"
"YDR397C","CC","nucleus"
"YDR397C","BP","chromatin remodeling"
"YDR397C","BP","negative regulation of transcription by RNA polymerase III"
"YDR397C","MF","TBP-class protein binding"
"YDR397C","CC","negative cofactor 2 complex"
"YDR397C","BP","regulation of RNA polymerase II transcription preinitiation complex assembly"
"YDR397C","BP","positive regulation of transcription by RNA polymerase II"
"YDR397C","MF","protein heterodimerization activity"
"YDR397C","BP","RNA polymerase II preinitiation complex assembly"
"YDR397C","BP","positive regulation of transcription from RNA polymerase II promoter in response to heat stress"
"YDR398W","BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YDR398W","MF","molecular_function"
"YDR398W","CC","nucleus"
"YDR398W","CC","nucleolus"
"YDR398W","BP","rRNA processing"
"YDR398W","CC","small-subunit processome"
"YDR398W","CC","rDNA heterochromatin"
"YDR398W","CC","t-UTP complex"
"YDR398W","BP","ribosome biogenesis"
"YDR398W","BP","positive regulation of transcription by RNA polymerase I"
"YDR399W","MF","nucleotide binding"
"YDR399W","MF","hypoxanthine phosphoribosyltransferase activity"
"YDR399W","MF","phosphomannomutase activity"
"YDR399W","CC","nucleus"
"YDR399W","CC","cytoplasm"
"YDR399W","BP","purine ribonucleoside salvage"
"YDR399W","BP","nucleoside metabolic process"
"YDR399W","MF","transferase activity"
"YDR399W","MF","glycosyltransferase activity"
"YDR399W","BP","GMP salvage"
"YDR399W","BP","IMP salvage"
"YDR399W","BP","XMP salvage"
"YDR399W","BP","hypoxanthine metabolic process"
"YDR399W","MF","metal ion binding"
"YDR399W","MF","guanine phosphoribosyltransferase activity"
"YDR400W","CC","nucleus"
"YDR400W","CC","cytoplasm"
"YDR400W","CC","cytosol"
"YDR400W","BP","purine nucleoside catabolic process"
"YDR400W","BP","cytidine catabolic process"
"YDR400W","BP","uridine catabolic process"
"YDR400W","BP","metabolic process"
"YDR400W","MF","purine nucleosidase activity"
"YDR400W","BP","pyrimidine-containing compound salvage"
"YDR400W","MF","hydrolase activity"
"YDR400W","MF","hydrolase activity, acting on glycosyl bonds"
"YDR400W","MF","hydrolase activity, hydrolyzing N-glycosyl compounds"
"YDR400W","BP","nicotinate nucleotide salvage"
"YDR400W","BP","NAD biosynthesis via nicotinamide riboside salvage pathway"
"YDR400W","MF","uridine nucleosidase activity"
"YDR400W","BP","pyrimidine nucleoside catabolic process"
"YDR400W","MF","ribosylpyrimidine nucleosidase activity"
"YDR400W","MF","nicotinamide riboside hydrolase activity"
"YDR400W","MF","nicotinic acid riboside hydrolase activity"
"YDR402C","MF","NADPH dehydrogenase activity"
"YDR402C","MF","monooxygenase activity"
"YDR402C","MF","iron ion binding"
"YDR402C","CC","endoplasmic reticulum"
"YDR402C","MF","oxidoreductase activity"
"YDR402C","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"YDR402C","MF","heme binding"
"YDR402C","BP","sporulation resulting in formation of a cellular spore"
"YDR402C","BP","ascospore wall assembly"
"YDR402C","MF","metal ion binding"
"YDR403W","MF","catalytic activity"
"YDR403W","CC","cytosol"
"YDR403W","BP","sporulation resulting in formation of a cellular spore"
"YDR403W","BP","ascospore wall assembly"
"YDR404C","BP","nuclear-transcribed mRNA catabolic process, exonucleolytic"
"YDR404C","CC","P-body"
"YDR404C","BP","RNA-templated transcription"
"YDR404C","MF","nucleic acid binding"
"YDR404C","MF","single-stranded DNA binding"
"YDR404C","MF","single-stranded RNA binding"
"YDR404C","MF","DNA-directed 5'-3' RNA polymerase activity"
"YDR404C","MF","RNA-dependent RNA polymerase activity"
"YDR404C","CC","nucleus"
"YDR404C","CC","RNA polymerase II, core complex"
"YDR404C","CC","cytoplasm"
"YDR404C","BP","DNA-templated transcription"
"YDR404C","BP","transcription by RNA polymerase II"
"YDR404C","BP","transcription initiation at RNA polymerase II promoter"
"YDR404C","MF","translation initiation factor binding"
"YDR404C","BP","positive regulation of translational initiation"
"YDR404C","BP","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening"
"YDR405W","MF","structural constituent of ribosome"
"YDR405W","CC","mitochondrion"
"YDR405W","CC","mitochondrial large ribosomal subunit"
"YDR405W","CC","ribosome"
"YDR405W","BP","translation"
"YDR405W","BP","mitochondrial translation"
"YDR406W","MF","nucleotide binding"
"YDR406W","MF","ATP binding"
"YDR406W","CC","membrane"
"YDR406W","MF","ATP hydrolysis activity"
"YDR406W","MF","ATPase-coupled transmembrane transporter activity"
"YDR406W","BP","transmembrane transport"
"YDR406W","CC","cell periphery"
"YDR406W","BP","xenobiotic detoxification by transmembrane export across the plasma membrane"
"YDR407C","CC","early endosome"
"YDR407C","CC","Golgi apparatus"
"YDR407C","CC","trans-Golgi network"
"YDR407C","CC","cytosol"
"YDR407C","BP","intra-Golgi vesicle-mediated transport"
"YDR407C","BP","early endosome to Golgi transport"
"YDR407C","BP","regulation of GTPase activity"
"YDR407C","CC","TRAPPII protein complex"
"YDR408C","MF","phosphoribosylglycinamide formyltransferase activity"
"YDR408C","CC","nucleus"
"YDR408C","CC","cytoplasm"
"YDR408C","BP","purine nucleotide biosynthetic process"
"YDR408C","BP","'de novo' IMP biosynthetic process"
"YDR408C","BP","biosynthetic process"
"YDR408C","MF","transferase activity"
"YDR408C","MF","hydroxymethyl-, formyl- and related transferase activity"
"YDR408C","BP","adenine biosynthetic process"
"YDR409W","CC","nucleus"
"YDR409W","CC","cytoplasm"
"YDR409W","CC","cellular bud neck"
"YDR409W","CC","septin ring"
"YDR409W","BP","chromosome segregation"
"YDR409W","MF","zinc ion binding"
"YDR409W","MF","transferase activity"
"YDR409W","BP","protein sumoylation"
"YDR409W","MF","SUMO transferase activity"
"YDR409W","BP","negative regulation of protein ubiquitination"
"YDR409W","MF","metal ion binding"
"YDR409W","BP","DNA double-strand break attachment to nuclear envelope"
"YDR410C","MF","protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity"
"YDR410C","CC","nuclear inner membrane"
"YDR410C","CC","endoplasmic reticulum"
"YDR410C","CC","endoplasmic reticulum membrane"
"YDR410C","BP","C-terminal protein methylation"
"YDR410C","BP","peptide pheromone maturation"
"YDR410C","MF","methyltransferase activity"
"YDR410C","CC","membrane"
"YDR410C","MF","transferase activity"
"YDR410C","BP","response to pheromone"
"YDR410C","BP","methylation"
"YDR411C","CC","Hrd1p ubiquitin ligase ERAD-L complex"
"YDR411C","CC","endoplasmic reticulum"
"YDR411C","CC","endoplasmic reticulum membrane"
"YDR411C","CC","membrane"
"YDR411C","BP","ubiquitin-dependent ERAD pathway"
"YDR411C","BP","endoplasmic reticulum unfolded protein response"
"YDR411C","MF","protein-containing complex binding"
"YDR411C","MF","misfolded protein binding"
"YDR411C","BP","regulation of retrograde protein transport, ER to cytosol"
"YDR411C","MF","ubiquitin-specific protease binding"
"YDR412W","MF","molecular_function"
"YDR412W","MF","RNA binding"
"YDR412W","CC","nucleus"
"YDR412W","CC","nucleolus"
"YDR412W","CC","cytoplasm"
"YDR412W","BP","rRNA processing"
"YDR412W","BP","ribosome biogenesis"
"YDR414C","MF","inositol hexakisphosphate binding"
"YDR414C","MF","molecular_function"
"YDR414C","CC","cytoplasm"
"YDR414C","CC","endoplasmic reticulum"
"YDR414C","CC","endoplasmic reticulum membrane"
"YDR414C","CC","Golgi apparatus"
"YDR414C","CC","plasma membrane"
"YDR414C","BP","protein glycosylation"
"YDR414C","BP","protein retention in ER lumen"
"YDR414C","BP","phosphate ion transport"
"YDR414C","BP","protein transport"
"YDR414C","MF","phosphate ion transmembrane transporter activity"
"YDR414C","CC","membrane"
"YDR414C","BP","cellular response to phosphate starvation"
"YDR414C","BP","phosphate ion transmembrane transport"
"YDR415C","CC","fungal-type vacuole"
"YDR415C","MF","molecular_function"
"YDR415C","MF","aminopeptidase activity"
"YDR415C","BP","proteolysis"
"YDR415C","BP","biological_process"
"YDR415C","MF","peptidase activity"
"YDR415C","MF","hydrolase activity"
"YDR415C","MF","metal ion binding"
"YDR416W","BP","generation of catalytic spliceosome for first transesterification step"
"YDR416W","MF","first spliceosomal transesterification activity"
"YDR416W","MF","second spliceosomal transesterification activity"
"YDR416W","BP","mRNA splicing, via spliceosome"
"YDR416W","CC","Prp19 complex"
"YDR416W","CC","nucleus"
"YDR416W","CC","spliceosomal complex"
"YDR416W","CC","cytosol"
"YDR416W","BP","RNA processing"
"YDR416W","BP","mRNA processing"
"YDR416W","BP","RNA splicing"
"YDR416W","CC","U2-type prespliceosome"
"YDR416W","CC","U2-type catalytic step 1 spliceosome"
"YDR416W","CC","U2-type catalytic step 2 spliceosome"
"YDR416W","CC","U2-type post-mRNA release spliceosomal complex"
"YDR416W","CC","catalytic step 2 spliceosome"
"YDR416W","CC","post-mRNA release spliceosomal complex"
"YDR418W","BP","ribosomal large subunit assembly"
"YDR418W","BP","cytoplasmic translation"
"YDR418W","MF","RNA binding"
"YDR418W","MF","structural constituent of ribosome"
"YDR418W","CC","cytoplasm"
"YDR418W","CC","ribosome"
"YDR418W","BP","translation"
"YDR418W","CC","large ribosomal subunit"
"YDR418W","MF","rRNA binding"
"YDR418W","CC","cytosolic large ribosomal subunit"
"YDR418W","MF","large ribosomal subunit rRNA binding"
"YDR419W","MF","DNA binding"
"YDR419W","MF","damaged DNA binding"
"YDR419W","MF","DNA-directed DNA polymerase activity"
"YDR419W","CC","nucleus"
"YDR419W","CC","replication fork"
"YDR419W","CC","mitochondrion"
"YDR419W","BP","DNA replication"
"YDR419W","BP","DNA repair"
"YDR419W","BP","cellular response to DNA damage stimulus"
"YDR419W","BP","chromosome segregation"
"YDR419W","BP","mitotic sister chromatid cohesion"
"YDR419W","BP","response to radiation"
"YDR419W","MF","transferase activity"
"YDR419W","MF","nucleotidyltransferase activity"
"YDR419W","CC","site of double-strand break"
"YDR419W","BP","error-prone translesion synthesis"
"YDR419W","MF","metal ion binding"
"YDR419W","BP","error-free translesion synthesis"
"YDR419W","BP","DNA biosynthetic process"
"YDR420W","BP","cellular bud site selection"
"YDR420W","BP","signal transduction involved in filamentous growth"
"YDR420W","MF","osmosensor activity"
"YDR420W","CC","extracellular region"
"YDR420W","CC","plasma membrane"
"YDR420W","BP","(1->3)-beta-D-glucan biosynthetic process"
"YDR420W","BP","hyperosmotic response"
"YDR420W","BP","osmosensory signaling pathway via Sho1 osmosensor"
"YDR420W","CC","cell surface"
"YDR420W","CC","membrane"
"YDR420W","BP","establishment of cell polarity"
"YDR420W","CC","site of polarized growth"
"YDR420W","BP","fungal-type cell wall organization"
"YDR421W","MF","DNA-binding transcription factor activity, RNA polymerase II-specific"
"YDR421W","MF","DNA binding"
"YDR421W","CC","nucleus"
"YDR421W","BP","regulation of DNA-templated transcription"
"YDR421W","BP","L-phenylalanine catabolic process"
"YDR421W","BP","tryptophan catabolic process"
"YDR421W","BP","tyrosine catabolic process"
"YDR421W","MF","zinc ion binding"
